Temporada,Posicao,Time,Pontos,Saldo de Gols,Jogos,Vitorias,Empates,Derrotas,Jogos em casa,Vitorias em casa,Empates em casa,Derrotas em casa,Gols marcados em casa,Gols sofridos em casa,Jogos fora de casa,Vitorias fora de casa,Empates fora de casa,Derrotas fora de casa,Gols marcados fora de casa,Gols sofridos fora de casa
2021,1,Atletico-MG,84,33,38,26,6,6,19,17,1,1,42,13,19,9,5,5,25,21
2021,2,Flamengo,71,33,38,21,8,9,19,13,1,5,31,15,19,8,7,4,38,21
2021,3,Palmeiras,66,15,38,20,6,12,19,11,3,5,33,26,19,9,3,7,25,17
2021,4,Fortaleza EC,58,-1,38,17,7,14,19,11,4,4,26,19,19,6,3,10,18,26
2021,5,Corinthians,57,4,38,15,12,11,19,10,5,4,26,18,19,5,7,7,14,18
2021,6,RB Bragantino,56,9,38,14,14,10,19,7,9,3,28,20,19,7,5,7,27,26
2021,7,Fluminense,54,0,38,15,9,14,19,11,5,3,24,14,19,4,4,11,14,24
2021,8,America Mineiro,53,4,38,13,14,11,19,9,6,4,22,11,19,4,8,7,19,26
2021,9,Atletico Goianiense,53,-3,38,13,14,11,19,6,10,3,17,14,19,7,4,8,16,22
2021,10,Santos,50,-5,38,12,14,12,19,9,6,4,21,14,19,3,8,8,14,26
2021,11,Ceara,50,1,38,11,17,10,19,10,7,2,24,14,19,1,10,8,15,24
2021,12,Internacional,48,2,38,12,12,14,19,8,6,5,29,22,19,4,6,9,15,20
2021,13,Sao Paulo,48,-8,38,11,15,12,19,7,9,3,18,15,19,4,6,9,13,24
2021,14,Atletico Paranaense,47,-4,38,13,8,17,19,8,5,6,23,21,19,5,3,11,18,24
2021,15,Cuiaba,47,-3,38,10,17,11,19,7,6,6,18,20,19,3,11,5,16,17
2021,16,Juventude,46,-8,38,11,13,14,19,9,6,4,19,15,19,2,7,10,17,29
2021,17,Gremio,43,-7,38,12,7,19,19,8,6,5,29,21,19,4,1,14,15,30
2021,18,Bahia,43,-9,38,11,10,17,19,8,5,6,27,22,19,3,5,11,15,29
2021,19,Sport Recife,38,-13,38,9,11,18,19,5,7,7,13,13,19,4,4,11,11,24
2021,20,Chapecoense-sc,15,-40,38,1,12,25,19,0,6,13,13,32,19,1,6,12,14,35
2022,1,Palmeiras,81,39,38,23,12,3,19,13,4,2,39,12,19,10,8,1,27,15
2022,2,Internacional,73,27,38,20,13,5,19,13,5,1,40,14,19,7,8,4,18,17
2022,3,Fluminense,70,22,38,21,7,10,19,12,3,4,39,20,19,9,4,6,24,21
2022,4,Corinthians,65,8,38,18,11,9,19,12,4,3,24,11,19,6,7,6,20,25
2022,5,Flamengo,62,21,38,18,8,12,19,11,3,5,37,15,19,7,5,7,23,24
2022,6,Atletico Paranaense,58,0,38,16,10,12,19,11,6,2,31,17,19,5,4,10,17,31
2022,7,Atletico-MG,58,8,38,15,13,10,19,8,5,6,25,18,19,7,8,4,20,19
2022,8,Fortaleza EC,55,7,38,15,10,13,19,7,8,4,24,13,19,8,2,9,22,26
2022,9,Sao Paulo,54,13,38,13,15,10,19,8,6,5,32,21,19,5,9,5,23,21
2022,10,America Mineiro,53,0,38,15,8,15,19,9,4,6,22,18,19,6,4,9,18,22
